"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2893","Переход в раздел История заказов","tests","2026-07-20","passed","2026-07-20","TestPersonalAccount","test_personal_account","",""
"","11268","После создания заказа счётчик Выполнено за всё время увеличивается","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","3965","При добавлении ингредиента увеличивается каунтер","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","1688","Переход по клику на Конструктор","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","9590","Заказы пользователя из Истории заказов отображаются в Ленте заказов","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","2895","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-07-20","passed","2026-07-20","TestPasswordRecovery","test_password_recovery","",""
"","2106","Клик на заказ открывает всплывающее окно","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","9591","Заказы пользователя из Истории заказов отображаются в Ленте заказов","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","2561","Переход по клику на Личный кабинет","tests","2026-07-20","passed","2026-07-20","TestPersonalAccount","test_personal_account","",""
"","2084","Переход по клику на Лента заказов","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","2662","Переход в раздел История заказов","tests","2026-07-20","passed","2026-07-20","TestPersonalAccount","test_personal_account","",""
"","1902","Клик на ингредиент открывает всплывающее окно","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","9603","После оформления заказа его номер появляется в разделе В работе","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","2513","Ввод почты и клик по кнопке Восстановить","tests","2026-07-20","passed","2026-07-20","TestPasswordRecovery","test_password_recovery","",""
"","3950","Выход из аккаунта","tests","2026-07-20","passed","2026-07-20","TestPersonalAccount","test_personal_account","",""
"","2358","Переход по клику на Личный кабинет","tests","2026-07-20","passed","2026-07-20","TestPersonalAccount","test_personal_account","",""
"","8049","Залогиненный пользователь может оформить заказ","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","3930","Выход из аккаунта","tests","2026-07-20","passed","2026-07-20","TestPersonalAccount","test_personal_account","",""
"","8586","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-07-20","passed","2026-07-20","TestPasswordRecovery","test_password_recovery","",""
"","2199","Клик на заказ открывает всплывающее окно","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","2195","Переход по клику на Лента заказов","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","11249","После создания заказа счётчик Выполнено за сегодня увеличивается","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","3319","При добавлении ингредиента увеличивается каунтер","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","9982","После оформления заказа его номер появляется в разделе В работе","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","1920","Переход на страницу восстановления пароля","tests","2026-07-20","passed","2026-07-20","TestPasswordRecovery","test_password_recovery","",""
"","3487","Всплывающее окно закрывается кликом по крестику","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","8166","Залогиненный пользователь может оформить заказ","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","10855","После создания заказа счётчик Выполнено за сегодня увеличивается","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","3350","Переход по клику на Конструктор","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","2014","Ввод почты и клик по кнопке Восстановить","tests","2026-07-20","passed","2026-07-20","TestPasswordRecovery","test_password_recovery","",""
"","10137","После создания заказа счётчик Выполнено за всё время увеличивается","tests","2026-07-20","passed","2026-07-20","TestOrderFeed","test_order_feed","",""
"","2160","Всплывающее окно закрывается кликом по крестику","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","1962","Клик на ингредиент открывает всплывающее окно","tests","2026-07-20","passed","2026-07-20","TestMainFunctionality","test_main_functionality","",""
"","1713","Переход на страницу восстановления пароля","tests","2026-07-20","passed","2026-07-20","TestPasswordRecovery","test_password_recovery","",""
